DATE,SECTOR,SALES (SEASONAL ADJ)
2007-04-01,Food and Beverage Stores,44988
2007-04-01,Health and Personal Care Stores,19572
2007-04-01,Gasoline Stations,36350
2007-04-01,Clothing and Clothing Access. Stores,18189
2007-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6640
2007-04-01,General Merchandise Stores,47679
2007-04-01,Miscellaneous Store Retailers,9586
2007-04-01,Nonstore Retailers,25303
2007-04-01,Food Services and Drinking Places,36627
2007-05-01,Motor Vehicle and Parts Dealers,77186
2007-05-01,Furniture and Home Furnishings Stores,9331
2007-05-01,Electronics and Appliance Stores,9090
2007-05-01,Building Mat. and Garden Equip. and Supplies Dealers,27144
2007-05-01,Food and Beverage Stores,45454
2007-05-01,Health and Personal Care Stores,19650
2007-05-01,Gasoline Stations,37996
2007-05-01,Clothing and Clothing Access. Stores,18545
2007-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6805
2007-05-01,General Merchandise Stores,47887
2007-05-01,Miscellaneous Store Retailers,9843
2007-05-01,Nonstore Retailers,25271
2007-05-01,Food Services and Drinking Places,36732
2007-06-01,Motor Vehicle and Parts Dealers,74794
2007-06-01,Furniture and Home Furnishings Stores,9264
2007-06-01,Electronics and Appliance Stores,9023
2007-06-01,Building Mat. and Garden Equip. and Supplies Dealers,26638
2007-06-01,Food and Beverage Stores,45627
2007-06-01,Health and Personal Care Stores,19880
2007-06-01,Gasoline Stations,37310
2007-06-01,Clothing and Clothing Access. Stores,18388
2007-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6850
2007-06-01,General Merchandise Stores,47852
2007-06-01,Miscellaneous Store Retailers,9988
2007-06-01,Nonstore Retailers,25462
2007-06-01,Food Services and Drinking Places,37078
2007-07-01,Motor Vehicle and Parts Dealers,74932
2007-07-01,Furniture and Home Furnishings Stores,9315
2007-07-01,Electronics and Appliance Stores,9088
2007-07-01,Building Mat. and Garden Equip. and Supplies Dealers,26860
2007-07-01,Food and Beverage Stores,45754
2007-07-01,Health and Personal Care Stores,19831
2007-07-01,Gasoline Stations,36963
2007-07-01,Clothing and Clothing Access. Stores,18522
2007-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6936
2007-07-01,General Merchandise Stores,48412
2007-07-01,Miscellaneous Store Retailers,9759
2007-07-01,Nonstore Retailers,25970
2007-07-01,Food Services and Drinking Places,37272
2007-08-01,Motor Vehicle and Parts Dealers,76549
2007-08-01,Furniture and Home Furnishings Stores,9300
2007-08-01,Electronics and Appliance Stores,9274
2007-08-01,Building Mat. and Garden Equip. and Supplies Dealers,26625
2007-08-01,Food and Beverage Stores,45643
2007-08-01,Health and Personal Care Stores,20014
2007-08-01,Gasoline Stations,37223
2007-08-01,Clothing and Clothing Access. Stores,18491
2007-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6780
2007-08-01,General Merchandise Stores,48704
2007-08-01,Miscellaneous Store Retailers,9740
2007-08-01,Nonstore Retailers,25826
2007-08-01,Food Services and Drinking Places,37189
2007-09-01,Motor Vehicle and Parts Dealers,77176
2007-09-01,Furniture and Home Furnishings Stores,9141
2007-09-01,Electronics and Appliance Stores,9174
2007-09-01,Building Mat. and Garden Equip. and Supplies Dealers,26412
2007-09-01,Food and Beverage Stores,45853
2007-09-01,Health and Personal Care Stores,20132
2007-09-01,Gasoline Stations,38210
2007-09-01,Clothing and Clothing Access. Stores,18412
2007-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6749
2007-09-01,General Merchandise Stores,48288
2007-09-01,Miscellaneous Store Retailers,9783
2007-09-01,Nonstore Retailers,26112
2007-09-01,Food Services and Drinking Places,37427
2007-10-01,Motor Vehicle and Parts Dealers,77617
2007-10-01,Furniture and Home Furnishings Stores,9142
2007-10-01,Electronics and Appliance Stores,9293
2007-10-01,Building Mat. and Garden Equip. and Supplies Dealers,26248
2007-10-01,Food and Beverage Stores,46113
2007-10-01,Health and Personal Care Stores,19988
2007-10-01,Gasoline Stations,39307
2007-10-01,Clothing and Clothing Access. Stores,18431
2007-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6834
2007-10-01,General Merchandise Stores,48540
2007-10-01,Miscellaneous Store Retailers,9620
2007-10-01,Nonstore Retailers,26397
2007-10-01,Food Services and Drinking Places,37759
2007-11-01,Motor Vehicle and Parts Dealers,75921
2007-11-01,Furniture and Home Furnishings Stores,9094
2007-11-01,Electronics and Appliance Stores,9562
2007-11-01,Building Mat. and Garden Equip. and Supplies Dealers,26566
2007-11-01,Food and Beverage Stores,46624
2007-11-01,Health and Personal Care Stores,19938
2007-11-01,Gasoline Stations,41985
2007-11-01,Clothing and Clothing Access. Stores,18759
2007-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6940
2007-11-01,General Merchandise Stores,49047
2007-11-01,Miscellaneous Store Retailers,9632
2007-11-01,Nonstore Retailers,27065
2007-11-01,Food Services and Drinking Places,37727
2007-12-01,Motor Vehicle and Parts Dealers,73345
2007-12-01,Furniture and Home Furnishings Stores,9009
2007-12-01,Electronics and Appliance Stores,9368
2007-12-01,Building Mat. and Garden Equip. and Supplies Dealers,25634
2007-12-01,Food and Beverage Stores,46831
2007-12-01,Health and Personal Care Stores,19825
2007-12-01,Gasoline Stations,41593
2007-12-01,Clothing and Clothing Access. Stores,18570
2007-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6756
2007-12-01,General Merchandise Stores,49302
2007-12-01,Miscellaneous Store Retailers,9688
2007-12-01,Nonstore Retailers,26268
2007-12-01,Food Services and Drinking Places,38109
2008-01-01,Motor Vehicle and Parts Dealers,73834
2008-01-01,Furniture and Home Furnishings Stores,8873
2008-01-01,Electronics and Appliance Stores,9175
2008-01-01,Building Mat. and Garden Equip. and Supplies Dealers,25721
2008-01-01,Food and Beverage Stores,46862
2008-01-01,Health and Personal Care Stores,20120
2008-01-01,Gasoline Stations,42423
2008-01-01,Clothing and Clothing Access. Stores,18542
2008-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6818
2008-01-01,General Merchandise Stores,48951
2008-01-01,Miscellaneous Store Retailers,10074
2008-01-01,Nonstore Retailers,26019
2008-01-01,Food Services and Drinking Places,37824
2008-02-01,Motor Vehicle and Parts Dealers,72206
2008-02-01,Furniture and Home Furnishings Stores,8594
2008-02-01,Electronics and Appliance Stores,9196
2008-02-01,Building Mat. and Garden Equip. and Supplies Dealers,25659
2008-02-01,Food and Beverage Stores,46707
2008-02-01,Health and Personal Care Stores,20279
2008-02-01,Gasoline Stations,42504
2008-02-01,Clothing and Clothing Access. Stores,18280
2008-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6751
2008-02-01,General Merchandise Stores,48927
2008-02-01,Miscellaneous Store Retailers,9380
2008-02-01,Nonstore Retailers,26101
2008-02-01,Food Services and Drinking Places,37249
2008-03-01,Motor Vehicle and Parts Dealers,71774
2008-03-01,Furniture and Home Furnishings Stores,8631
2008-03-01,Electronics and Appliance Stores,9171
2008-03-01,Building Mat. and Garden Equip. and Supplies Dealers,25456
2008-03-01,Food and Beverage Stores,46883
2008-03-01,Health and Personal Care Stores,20288
2008-03-01,Gasoline Stations,43044
2008-03-01,Clothing and Clothing Access. Stores,18338
2008-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6733
2008-03-01,General Merchandise Stores,48990
2008-03-01,Miscellaneous Store Retailers,9355
2008-03-01,Nonstore Retailers,26530
2008-03-01,Food Services and Drinking Places,37552
2008-04-01,Motor Vehicle and Parts Dealers,70052
2008-04-01,Furniture and Home Furnishings Stores,8606
2008-04-01,Electronics and Appliance Stores,9286
2008-04-01,Building Mat. and Garden Equip. and Supplies Dealers,25292
2008-04-01,Food and Beverage Stores,47356
2008-04-01,Health and Personal Care Stores,20172
2008-04-01,Gasoline Stations,42933
2008-04-01,Clothing and Clothing Access. Stores,18384
2008-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6809
2008-04-01,General Merchandise Stores,49433
2008-04-01,Miscellaneous Store Retailers,9277
2008-04-01,Nonstore Retailers,27243
2008-04-01,Food Services and Drinking Places,37729
2008-05-01,Motor Vehicle and Parts Dealers,69143
2008-05-01,Furniture and Home Furnishings Stores,8587
2008-05-01,Electronics and Appliance Stores,9530
2008-05-01,Building Mat. and Garden Equip. and Supplies Dealers,25650
2008-05-01,Food and Beverage Stores,47355
2008-05-01,Health and Personal Care Stores,20536
2008-05-01,Gasoline Stations,44344
2008-05-01,Clothing and Clothing Access. Stores,18642
2008-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6949
2008-05-01,General Merchandise Stores,50375
2008-05-01,Miscellaneous Store Retailers,9310
2008-05-01,Nonstore Retailers,27526
2008-05-01,Food Services and Drinking Places,38089
2008-06-01,Motor Vehicle and Parts Dealers,67161
2008-06-01,Furniture and Home Furnishings Stores,8473
2008-06-01,Electronics and Appliance Stores,9305
2008-06-01,Building Mat. and Garden Equip. and Supplies Dealers,25700
2008-06-01,Food and Beverage Stores,47568
2008-06-01,Health and Personal Care Stores,20497
2008-06-01,Gasoline Stations,46547
2008-06-01,Clothing and Clothing Access. Stores,18708
2008-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6879
2008-06-01,General Merchandise Stores,50762
2008-06-01,Miscellaneous Store Retailers,9308
2008-06-01,Nonstore Retailers,27403
2008-06-01,Food Services and Drinking Places,38144
2008-07-01,Motor Vehicle and Parts Dealers,64397
2008-07-01,Furniture and Home Furnishings Stores,8369
2008-07-01,Electronics and Appliance Stores,9329
2008-07-01,Building Mat. and Garden Equip. and Supplies Dealers,25897
2008-07-01,Food and Beverage Stores,47845
2008-07-01,Health and Personal Care Stores,20640
2008-07-01,Gasoline Stations,46813
2008-07-01,Clothing and Clothing Access. Stores,18635
2008-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6858
2008-07-01,General Merchandise Stores,50582
2008-07-01,Miscellaneous Store Retailers,9583
2008-07-01,Nonstore Retailers,27823
2008-07-01,Food Services and Drinking Places,38267
2008-08-01,Motor Vehicle and Parts Dealers,64985
2008-08-01,Furniture and Home Furnishings Stores,8154
2008-08-01,Electronics and Appliance Stores,9201
2008-08-01,Building Mat. and Garden Equip. and Supplies Dealers,25329
2008-08-01,Food and Beverage Stores,47988
2008-08-01,Health and Personal Care Stores,20620
2008-08-01,Gasoline Stations,45645
2008-08-01,Clothing and Clothing Access. Stores,18524
2008-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6931
2008-08-01,General Merchandise Stores,50131
2008-08-01,Miscellaneous Store Retailers,9163
2008-08-01,Nonstore Retailers,27374
2008-08-01,Food Services and Drinking Places,38239
2008-09-01,Motor Vehicle and Parts Dealers,62549
2008-09-01,Furniture and Home Furnishings Stores,7722
2008-09-01,Electronics and Appliance Stores,8814
2008-09-01,Building Mat. and Garden Equip. and Supplies Dealers,25217
2008-09-01,Food and Beverage Stores,47740
2008-09-01,Health and Personal Care Stores,20654
2008-09-01,Gasoline Stations,45777
2008-09-01,Clothing and Clothing Access. Stores,17560
2008-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6536
2008-09-01,General Merchandise Stores,49436
2008-09-01,Miscellaneous Store Retailers,9080
2008-09-01,Nonstore Retailers,27258
2008-09-01,Food Services and Drinking Places,38386
2008-10-01,Motor Vehicle and Parts Dealers,56599
2008-10-01,Furniture and Home Furnishings Stores,7735
2008-10-01,Electronics and Appliance Stores,8732
2008-10-01,Building Mat. and Garden Equip. and Supplies Dealers,24568
2008-10-01,Food and Beverage Stores,47703
2008-10-01,Health and Personal Care Stores,20659
2008-10-01,Gasoline Stations,40584
2008-10-01,Clothing and Clothing Access. Stores,17317
2008-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6426
2008-10-01,General Merchandise Stores,49260
2008-10-01,Miscellaneous Store Retailers,8914
2008-10-01,Nonstore Retailers,26333
2008-10-01,Food Services and Drinking Places,38120
2008-11-01,Motor Vehicle and Parts Dealers,54984
2008-11-01,Furniture and Home Furnishings Stores,7640
2008-11-01,Electronics and Appliance Stores,8737
2008-11-01,Building Mat. and Garden Equip. and Supplies Dealers,23196
2008-11-01,Food and Beverage Stores,47363
2008-11-01,Health and Personal Care Stores,20789
2008-11-01,Gasoline Stations,31776
2008-11-01,Clothing and Clothing Access. Stores,17173
2008-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6431
2008-11-01,General Merchandise Stores,49464
2008-11-01,Miscellaneous Store Retailers,8630
2008-11-01,Nonstore Retailers,25149
2008-11-01,Food Services and Drinking Places,38018
2008-12-01,Motor Vehicle and Parts Dealers,54123
2008-12-01,Furniture and Home Furnishings Stores,7460
2008-12-01,Electronics and Appliance Stores,8351
2008-12-01,Building Mat. and Garden Equip. and Supplies Dealers,22909
2008-12-01,Food and Beverage Stores,46942
2008-12-01,Health and Personal Care Stores,20682
2008-12-01,Gasoline Stations,27999
2008-12-01,Clothing and Clothing Access. Stores,16868
2008-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6470
2008-12-01,General Merchandise Stores,48906
2008-12-01,Miscellaneous Store Retailers,8564
2008-12-01,Nonstore Retailers,24751
2008-12-01,Food Services and Drinking Places,38066
2009-01-01,Motor Vehicle and Parts Dealers,55790
2009-01-01,Furniture and Home Furnishings Stores,7363
2009-01-01,Electronics and Appliance Stores,8884
2009-01-01,Building Mat. and Garden Equip. and Supplies Dealers,22758
2009-01-01,Food and Beverage Stores,47639
2009-01-01,Health and Personal Care Stores,20753
2009-01-01,Gasoline Stations,28818
2009-01-01,Clothing and Clothing Access. Stores,17159
2009-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6661
2009-01-01,General Merchandise Stores,49288
2009-01-01,Miscellaneous Store Retailers,8511
2009-01-01,Nonstore Retailers,25049
2009-01-01,Food Services and Drinking Places,38256
2009-02-01,Motor Vehicle and Parts Dealers,54188
2009-02-01,Furniture and Home Furnishings Stores,7285
2009-02-01,Electronics and Appliance Stores,8844
2009-02-01,Building Mat. and Garden Equip. and Supplies Dealers,22498
2009-02-01,Food and Beverage Stores,46928
2009-02-01,Health and Personal Care Stores,20906
2009-02-01,Gasoline Stations,29860
2009-02-01,Clothing and Clothing Access. Stores,17401
2009-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6535
2009-02-01,General Merchandise Stores,49199
2009-02-01,Miscellaneous Store Retailers,8746
2009-02-01,Nonstore Retailers,25241
2009-02-01,Food Services and Drinking Places,37945
2009-03-01,Motor Vehicle and Parts Dealers,53100
2009-03-01,Furniture and Home Furnishings Stores,7041
2009-03-01,Electronics and Appliance Stores,8099
2009-03-01,Building Mat. and Garden Equip. and Supplies Dealers,22149
2009-03-01,Food and Beverage Stores,46912
2009-03-01,Health and Personal Care Stores,20908
2009-03-01,Gasoline Stations,28825
2009-03-01,Clothing and Clothing Access. Stores,16510
2009-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6360
2009-03-01,General Merchandise Stores,48840
2009-03-01,Miscellaneous Store Retailers,8615
2009-03-01,Nonstore Retailers,24941
2009-03-01,Food Services and Drinking Places,37447
2009-04-01,Motor Vehicle and Parts Dealers,53557
2009-04-01,Furniture and Home Furnishings Stores,7067
2009-04-01,Electronics and Appliance Stores,8049
2009-04-01,Building Mat. and Garden Equip. and Supplies Dealers,22092
2009-04-01,Food and Beverage Stores,47133
2009-04-01,Health and Personal Care Stores,21059
2009-04-01,Gasoline Stations,28747
2009-04-01,Clothing and Clothing Access. Stores,16900
2009-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6514
2009-04-01,General Merchandise Stores,48887
2009-04-01,Miscellaneous Store Retailers,8677
2009-04-01,Nonstore Retailers,24932
2009-04-01,Food Services and Drinking Places,37738
2009-05-01,Motor Vehicle and Parts Dealers,54089
2009-05-01,Furniture and Home Furnishings Stores,7087
2009-05-01,Electronics and Appliance Stores,8026
2009-05-01,Building Mat. and Garden Equip. and Supplies Dealers,22310
2009-05-01,Food and Beverage Stores,47219
2009-05-01,Health and Personal Care Stores,21121
2009-05-01,Gasoline Stations,30488
2009-05-01,Clothing and Clothing Access. Stores,17038
2009-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6453
2009-05-01,General Merchandise Stores,49085
2009-05-01,Miscellaneous Store Retailers,8426
2009-05-01,Nonstore Retailers,25159
2009-05-01,Food Services and Drinking Places,37755
2009-06-01,Motor Vehicle and Parts Dealers,56611
2009-06-01,Furniture and Home Furnishings Stores,7092
2009-06-01,Electronics and Appliance Stores,8039
2009-06-01,Building Mat. and Garden Equip. and Supplies Dealers,22332
2009-06-01,Food and Beverage Stores,47350
2009-06-01,Health and Personal Care Stores,21055
2009-06-01,Gasoline Stations,33375
2009-06-01,Clothing and Clothing Access. Stores,16817
2009-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6473
2009-06-01,General Merchandise Stores,48792
2009-06-01,Miscellaneous Store Retailers,8465
2009-06-01,Nonstore Retailers,25768
2009-06-01,Food Services and Drinking Places,37714
2009-07-01,Motor Vehicle and Parts Dealers,57748
2009-07-01,Furniture and Home Furnishings Stores,7039
2009-07-01,Electronics and Appliance Stores,7965
2009-07-01,Building Mat. and Garden Equip. and Supplies Dealers,21883
2009-07-01,Food and Beverage Stores,47330
2009-07-01,Health and Personal Care Stores,21027
2009-07-01,Gasoline Stations,33066
2009-07-01,Clothing and Clothing Access. Stores,17015
2009-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6455
2009-07-01,General Merchandise Stores,48812
2009-07-01,Miscellaneous Store Retailers,8352
2009-07-01,Nonstore Retailers,26110
2009-07-01,Food Services and Drinking Places,37715
2009-08-01,Motor Vehicle and Parts Dealers,62263
2009-08-01,Furniture and Home Furnishings Stores,6991
2009-08-01,Electronics and Appliance Stores,8000
2009-08-01,Building Mat. and Garden Equip. and Supplies Dealers,21474
2009-08-01,Food and Beverage Stores,47309
2009-08-01,Health and Personal Care Stores,21070
2009-08-01,Gasoline Stations,34658
2009-08-01,Clothing and Clothing Access. Stores,17233
2009-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6628
2009-08-01,General Merchandise Stores,48934
2009-08-01,Miscellaneous Store Retailers,8313
2009-08-01,Nonstore Retailers,26150
2009-08-01,Food Services and Drinking Places,37645
2009-09-01,Motor Vehicle and Parts Dealers,53534
2009-09-01,Furniture and Home Furnishings Stores,6981
2009-09-01,Electronics and Appliance Stores,7965
2009-09-01,Building Mat. and Garden Equip. and Supplies Dealers,21363
2009-09-01,Food and Beverage Stores,47559
2009-09-01,Health and Personal Care Stores,21231
2009-09-01,Gasoline Stations,34800
2009-09-01,Clothing and Clothing Access. Stores,17172
2009-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6484
2009-09-01,General Merchandise Stores,49220
2009-09-01,Miscellaneous Store Retailers,8385
2009-09-01,Nonstore Retailers,26339
2009-09-01,Food Services and Drinking Places,37474
2009-10-01,Motor Vehicle and Parts Dealers,56469
2009-10-01,Furniture and Home Furnishings Stores,6915
2009-10-01,Electronics and Appliance Stores,7920
2009-10-01,Building Mat. and Garden Equip. and Supplies Dealers,20661
2009-10-01,Food and Beverage Stores,47603
2009-10-01,Health and Personal Care Stores,21278
2009-10-01,Gasoline Stations,34885
2009-10-01,Clothing and Clothing Access. Stores,17296
2009-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6408
2009-10-01,General Merchandise Stores,49725
2009-10-01,Miscellaneous Store Retailers,8360
2009-10-01,Nonstore Retailers,26634
2009-10-01,Food Services and Drinking Places,37500
2009-11-01,Motor Vehicle and Parts Dealers,57355
2009-11-01,Furniture and Home Furnishings Stores,6991
2009-11-01,Electronics and Appliance Stores,8208
2009-11-01,Building Mat. and Garden Equip. and Supplies Dealers,20931
2009-11-01,Food and Beverage Stores,47689
2009-11-01,Health and Personal Care Stores,21288
2009-11-01,Gasoline Stations,36573
2009-11-01,Clothing and Clothing Access. Stores,17105
2009-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6307
2009-11-01,General Merchandise Stores,49156
2009-11-01,Miscellaneous Store Retailers,8406
2009-11-01,Nonstore Retailers,26666
2009-11-01,Food Services and Drinking Places,37700
2009-12-01,Motor Vehicle and Parts Dealers,57079
2009-12-01,Furniture and Home Furnishings Stores,7024
2009-12-01,Electronics and Appliance Stores,8068
2009-12-01,Building Mat. and Garden Equip. and Supplies Dealers,20849
2009-12-01,Food and Beverage Stores,48134
2009-12-01,Health and Personal Care Stores,21195
2009-12-01,Gasoline Stations,37182
2009-12-01,Clothing and Clothing Access. Stores,17127
2009-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6523
2009-12-01,General Merchandise Stores,49657
2009-12-01,Miscellaneous Store Retailers,8591
2009-12-01,Nonstore Retailers,26984
2009-12-01,Food Services and Drinking Places,37659
2010-01-01,Motor Vehicle and Parts Dealers,56798
2010-01-01,Furniture and Home Furnishings Stores,7003
2010-01-01,Electronics and Appliance Stores,8223
2010-01-01,Building Mat. and Garden Equip. and Supplies Dealers,20557
2010-01-01,Food and Beverage Stores,47875
2010-01-01,Health and Personal Care Stores,21187
2010-01-01,Gasoline Stations,37399
2010-01-01,Clothing and Clothing Access. Stores,17351
2010-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6507
2010-01-01,General Merchandise Stores,49844
2010-01-01,Miscellaneous Store Retailers,8363
2010-01-01,Nonstore Retailers,27236
2010-01-01,Food Services and Drinking Places,37700
2010-02-01,Motor Vehicle and Parts Dealers,55803
2010-02-01,Furniture and Home Furnishings Stores,7131
2010-02-01,Electronics and Appliance Stores,8482
2010-02-01,Building Mat. and Garden Equip. and Supplies Dealers,20452
2010-02-01,Food and Beverage Stores,48699
2010-02-01,Health and Personal Care Stores,21199
2010-02-01,Gasoline Stations,36950
2010-02-01,Clothing and Clothing Access. Stores,17402
2010-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6412
2010-02-01,General Merchandise Stores,50538
2010-02-01,Miscellaneous Store Retailers,8251
2010-02-01,Nonstore Retailers,27249
2010-02-01,Food Services and Drinking Places,38267
2010-03-01,Motor Vehicle and Parts Dealers,60897
2010-03-01,Furniture and Home Furnishings Stores,7235
2010-03-01,Electronics and Appliance Stores,8148
2010-03-01,Building Mat. and Garden Equip. and Supplies Dealers,21875
2010-03-01,Food and Beverage Stores,48268
2010-03-01,Health and Personal Care Stores,21363
2010-03-01,Gasoline Stations,37123
2010-03-01,Clothing and Clothing Access. Stores,17908
2010-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6515
2010-03-01,General Merchandise Stores,50095
2010-03-01,Miscellaneous Store Retailers,8705
2010-03-01,Nonstore Retailers,27852
2010-03-01,Food Services and Drinking Places,38376
2010-04-01,Motor Vehicle and Parts Dealers,61823
2010-04-01,Furniture and Home Furnishings Stores,7121
2010-04-01,Electronics and Appliance Stores,8280
2010-04-01,Building Mat. and Garden Equip. and Supplies Dealers,23556
2010-04-01,Food and Beverage Stores,48217
2010-04-01,Health and Personal Care Stores,21471
2010-04-01,Gasoline Stations,37218
2010-04-01,Clothing and Clothing Access. Stores,17724
2010-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6409
2010-04-01,General Merchandise Stores,50650
2010-04-01,Miscellaneous Store Retailers,8567
2010-04-01,Nonstore Retailers,27767
2010-04-01,Food Services and Drinking Places,38658
2010-05-01,Motor Vehicle and Parts Dealers,61571
2010-05-01,Furniture and Home Furnishings Stores,7117
2010-05-01,Electronics and Appliance Stores,8366
2010-05-01,Building Mat. and Garden Equip. and Supplies Dealers,21747
2010-05-01,Food and Beverage Stores,48195
2010-05-01,Health and Personal Care Stores,21399
2010-05-01,Gasoline Stations,36606
2010-05-01,Clothing and Clothing Access. Stores,17656
2010-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6496
2010-05-01,General Merchandise Stores,50023
2010-05-01,Miscellaneous Store Retailers,8632
2010-05-01,Nonstore Retailers,27752
2010-05-01,Food Services and Drinking Places,38695
2010-06-01,Motor Vehicle and Parts Dealers,61425
2010-06-01,Furniture and Home Furnishings Stores,7079
2010-06-01,Electronics and Appliance Stores,8501
2010-06-01,Building Mat. and Garden Equip. and Supplies Dealers,21528
2010-06-01,Food and Beverage Stores,47866
2010-06-01,Health and Personal Care Stores,21661
2010-06-01,Gasoline Stations,35609
2010-06-01,Clothing and Clothing Access. Stores,17495
2010-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6497
2010-06-01,General Merchandise Stores,49966
2010-06-01,Miscellaneous Store Retailers,8797
2010-06-01,Nonstore Retailers,28465
2010-06-01,Food Services and Drinking Places,38877
2010-07-01,Motor Vehicle and Parts Dealers,62679
2010-07-01,Furniture and Home Furnishings Stores,7101
2010-07-01,Electronics and Appliance Stores,8353
2010-07-01,Building Mat. and Garden Equip. and Supplies Dealers,21499
2010-07-01,Food and Beverage Stores,47954
2010-07-01,Health and Personal Care Stores,21733
2010-07-01,Gasoline Stations,35764
2010-07-01,Clothing and Clothing Access. Stores,17573
2010-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6516
2010-07-01,General Merchandise Stores,49913
2010-07-01,Miscellaneous Store Retailers,8613
2010-07-01,Nonstore Retailers,28113
2010-07-01,Food Services and Drinking Places,39033
2010-08-01,Motor Vehicle and Parts Dealers,62545
2010-08-01,Furniture and Home Furnishings Stores,7123
2010-08-01,Electronics and Appliance Stores,8329
2010-08-01,Building Mat. and Garden Equip. and Supplies Dealers,21278
2010-08-01,Food and Beverage Stores,48217
2010-08-01,Health and Personal Care Stores,21863
2010-08-01,Gasoline Stations,36223
2010-08-01,Clothing and Clothing Access. Stores,17643
2010-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6441
2010-08-01,General Merchandise Stores,50133
2010-08-01,Miscellaneous Store Retailers,8649
2010-08-01,Nonstore Retailers,28764
2010-08-01,Food Services and Drinking Places,39402
2010-09-01,Motor Vehicle and Parts Dealers,63260
2010-09-01,Furniture and Home Furnishings Stores,7108
2010-09-01,Electronics and Appliance Stores,8383
2010-09-01,Building Mat. and Garden Equip. and Supplies Dealers,21351
2010-09-01,Food and Beverage Stores,48679
2010-09-01,Health and Personal Care Stores,21888
2010-09-01,Gasoline Stations,37357
2010-09-01,Clothing and Clothing Access. Stores,17705
2010-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6469
2010-09-01,General Merchandise Stores,50297
2010-09-01,Miscellaneous Store Retailers,8766
2010-09-01,Nonstore Retailers,28998
2010-09-01,Food Services and Drinking Places,39385
2010-10-01,Motor Vehicle and Parts Dealers,64916
2010-10-01,Furniture and Home Furnishings Stores,7032
2010-10-01,Electronics and Appliance Stores,8265
2010-10-01,Building Mat. and Garden Equip. and Supplies Dealers,22033
2010-10-01,Food and Beverage Stores,48569
2010-10-01,Health and Personal Care Stores,22105
2010-10-01,Gasoline Stations,38519
2010-10-01,Clothing and Clothing Access. Stores,18002
2010-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6579
2010-10-01,General Merchandise Stores,50255
2010-10-01,Miscellaneous Store Retailers,8924
2010-10-01,Nonstore Retailers,28899
2010-10-01,Food Services and Drinking Places,39479
2010-11-01,Motor Vehicle and Parts Dealers,65380
2010-11-01,Furniture and Home Furnishings Stores,7104
2010-11-01,Electronics and Appliance Stores,8107
2010-11-01,Building Mat. and Garden Equip. and Supplies Dealers,21944
2010-11-01,Food and Beverage Stores,49131
2010-11-01,Health and Personal Care Stores,22180
2010-11-01,Gasoline Stations,39272
